Age32-40, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States,0
Age17-23, ?, HS-grad, Married-civ-spouse, ?, Other-relative, White, Female,Hour21-35, United-States,0
Age32-40, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,Hour21-35, South,0
Age24-31, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, State-gov, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,Hour21-35, United-States,0
Age51-60, Private, 9th, Separated, Craft-repair, Unmarried, White, Male,Hour36-50, United-States,0
Age51-60, Private, Bachelors, Married-spouse-absent, Craft-repair, Unmarried, White, Female,Hour51-70, Ireland,0
Age17-23, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour21-35, United-States,0
Age51-60, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,Hour36-50, United-States,0
Age32-40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Separated, Other-service, Unmarried, Black, Female,Hour21-35, United-States,0
Age51-60, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,Hour36-50, United-States,0
Age17-23, ?, 10th, Never-married, ?, Own-child, White, Male,Hour36-50, United-States,0
Age24-31, Private, 12th, Never-married, Sales, Own-child, White, Male,Hour21-35, United-States,0
Age71-80, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, 10th, Divorced, Other-service, Unmarried, Black, Female,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Self-emp-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,Hour51-70, United-States,0
Age41-50, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,Hour71-99, United-States,0
Age41-50, State-gov, Masters, Divorced, Prof-specialty, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Divorced, Exec-managerial, Other-relative, White, Female,Hour36-50, United-States,0
Age41-50, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,Hour36-50, England,0
Age51-60, Private, 1st-4th, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, Mexico,1
Age24-31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age51-60, Self-emp-inc, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour71-99, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,Hour51-70, United-States,1
Age32-40, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Assoc-voc, Divorced, Sales, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Divorced, Sales, Own-child, White, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, Italy,0
Age24-31, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Hour1-20, United-States,0
Age51-60, Private, Bachelors, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Male,Hour21-35, Philippines,0
Age24-31, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Separated, Other-service, Not-in-family, White, Female,Hour51-70, United-States,0
Age32-40, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour1-20, United-States,0
Age61-70, Federal-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Hour1-20, United-States,1
Age32-40, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,Hour36-50, United-States,0
Age51-60, Federal-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,1
Age61-70, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour71-99, ?,0
Age24-31, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Female,Hour21-35, United-States,0
Age51-60, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Private, 10th, Married-civ-spouse, Transport-moving, Husband, Black, Male,Hour36-50, United-States,1
Age17-23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Hour21-35, United-States,0
Age17-23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,Hour1-20, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, 11th, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,Hour21-35, United-States,0
Age51-60, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,Hour36-50, United-States,0
Age24-31, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States,0
Age61-70, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,Hour1-20, Germany,0
Age24-31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour21-35, India,0
Age24-31, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States,0
Age41-50, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, Mexico,0
Age24-31, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,Hour1-20, United-States,0
Age32-40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Private, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Male,Hour36-50, Dominican-Republic,0
Age24-31, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States,0
Age41-50, Private, Some-college, Separated, Other-service, Not-in-family, White, Female,Hour21-35, Peru,0
Age61-70, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, State-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,Hour21-35, United-States,0
Age41-50, Private, Masters, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,Hour51-70, United-States,1
Age32-40, Federal-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,Hour36-50, United-States,1
Age41-50, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Separated, Transport-moving, Not-in-family, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Hour21-35, United-States,0
Age32-40, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,Hour21-35, United-States,0
Age32-40, Private, HS-grad, Separated, Transport-moving, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, State-gov, Some-college, Divorced, Tech-support, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Masters, Never-married, Prof-specialty, Unmarried, White, Female,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Prof-school, Divorced, Prof-specialty, Unmarried, White, Male,Hour51-70, United-States,1
Age61-70, ?, Masters, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States,0
Age41-50, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, Mexico,0
Age41-50, Local-gov, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,Hour51-70, United-States,0
Age32-40, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,Hour36-50, Vietnam,0
Age17-23, State-gov, 11th, Never-married, Other-service, Own-child, White, Male,Hour1-20, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States,0
Age61-70, Private, HS-grad, Never-married, Other-service, Other-relative, Black, Female,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Male,Hour1-20, Puerto-Rico,0
Age61-70, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States,1
Age32-40, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Not-in-family, Black, Male,Hour51-70, ?,0
Age32-40, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, 1st-4th, Never-married, Machine-op-inspct, Not-in-family, White, Female,Hour36-50, Mexico,0
Age17-23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,Hour1-20, United-States,0
Age24-31, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, United-States,1
Age24-31, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,Hour21-35, United-States,0
Age41-50, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,1
Age71-80, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour21-35, United-States,0
Age41-50, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,Hour21-35, United-States,0
Age32-40, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,Hour36-50, ?,0
Age24-31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Federal-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,Hour21-35, United-States,0
Age41-50, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,Hour1-20, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Masters, Divorced, Handlers-cleaners, Unmarried, White, Male,Hour36-50, Peru,0
Age17-23, ?, Some-college, Never-married, ?, Own-child, White, Female,Hour21-35, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States,1
Age61-70, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, State-gov, Some-college, Separated, Tech-support, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,Hour21-35, United-States,1
Age32-40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States,1
Age41-50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age41-50, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Married-civ-spouse, Protective-serv, Own-child, White, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States,0
Age24-31, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,Hour21-35, United-States,0
Age24-31, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, 9th, Married-spouse-absent, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,Hour36-50, Vietnam,0
Age24-31, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour51-70, United-States,0
Age41-50, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour71-99, United-States,0
Age24-31, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,Hour36-50, South,0
Age41-50, Local-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour1-20, United-States,0
Age32-40, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,Hour36-50, United-States,0
Age24-31, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,Hour1-20, Mexico,0
Age41-50, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour36-50, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age61-70, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,1
Age51-60, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,Hour51-70, United-States,0
Age24-31, Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Male,Hour1-20, United-States,0
Age51-60, State-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,Hour21-35, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,Hour1-20, United-States,0
Age41-50, Private, Bachelors, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,Hour36-50, Philippines,0
Age17-23, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,Hour21-35, United-States,0
Age51-60, Private, 7th-8th, Never-married, Farming-fishing, Unmarried, Black, Female,Hour1-20, United-States,0
Age17-23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, 11th, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, ?,0
Age32-40, Private, 5th-6th, Separated, Sales, Unmarried, Black, Female,Hour21-35, Puerto-Rico,0
Age24-31, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States,0
Age24-31, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,Hour36-50, ?,1
Age32-40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Self-emp-not-inc, 11th, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, Mexico,0
Age61-70, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,Hour1-20, United-States,0
Age24-31, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,Hour21-35, Puerto-Rico,0
Age41-50, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,Hour36-50, Germany,1
Age51-60, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age51-60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age41-50, Private, Assoc-voc, Divorced, Transport-moving, Not-in-family, White, Male,Hour36-50, United-States,0
Age17-23, Private, Some-college, Never-married, Sales, Own-child, Black, Female,Hour1-20, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Federal-gov, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, Black, Male,Hour36-50, United-States,0
Age51-60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States,1
Age51-60, ?, Bachelors, Married-civ-spouse, ?, Husband, Black, Male,Hour36-50, United-States,0
Age24-31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,Hour36-50, United-States,0
Age41-50, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour21-35, United-States,0
Age24-31, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age32-40, Private, HS-grad, Never-married, Sales, Own-child, White, Female,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, Italy,1
Age17-23, Self-emp-inc, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,Hour21-35, United-States,0
Age24-31, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,Hour51-70, United-States,0
Age41-50, State-gov, Prof-school, Divorced, Prof-specialty, Unmarried, White, Female,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,Hour36-50, United-States,0
Age24-31, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,Hour21-35, United-States,0
Age61-70, ?, HS-grad, Never-married, ?, Not-in-family, White, Male,Hour1-20, United-States,0
Age24-31, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age17-23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,Hour21-35, United-States,0
Age17-23, ?, HS-grad, Never-married, ?, Own-child, White, Male,Hour36-50, United-States,0
Age17-23, Private, 12th, Never-married, Other-service, Unmarried, Black, Male,Hour36-50, United-States,0
Age17-23, Private, 5th-6th, Never-married, Other-service, Other-relative, White, Male,Hour36-50, Mexico,0
Age17-23, Self-emp-not-inc, 10th, Never-married, Other-service, Own-child, White, Female,Hour21-35, United-States,0
Age61-70, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Local-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Hour51-70, United-States,1
Age51-60, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,Hour36-50, United-States,0
Age61-70, Private, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,Hour1-20, United-States,0
Age17-23, Private, 10th, Never-married, Other-service, Own-child, White, Male,Hour21-35, United-States,0
Age41-50, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,Hour21-35, United-States,0
Age17-23, Private, 12th, Never-married, Other-service, Own-child, Black, Male,Hour1-20, United-States,0
Age24-31, Local-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Bachelors, Married-spouse-absent, Sales, Own-child, White, Male,Hour36-50, United-States,1
Age41-50, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States,0
Age61-70, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States,1
Age24-31, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,Hour36-50, United-States,0
Age32-40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,0
Age51-60, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Hour1-20, Puerto-Rico,1
Age41-50, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age51-60, ?, HS-grad, Divorced, ?, Unmarried, White, Male,Hour36-50, United-States,0
Age32-40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,1
Age24-31, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,Hour36-50, United-States,0
Age41-50, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,Hour36-50, United-States,0
Age24-31, Private, 9th, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States,0
Age61-70, Private, 11th, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States,1
Age41-50, State-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,Hour36-50, United-States,0
Age61-70, Private, Some-college, Divorced, Other-service, Not-in-family, White, Male,Hour36-50, United-States,0
Age41-50, Self-emp-not-inc, Masters, Never-married, Farming-fishing, Own-child, White, Male,Hour71-99, United-States,0
Age41-50, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,Hour51-70, United-States,0
Age51-60, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States,0
Age17-23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,Hour1-20, United-States,0
Age17-23, Private, Some-college, Never-married, Other-service, Own-child, White, Male,Hour21-35, United-States,0
Age24-31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States,0
Age17-23, ?, Some-college, Never-married, ?, Own-child, White, Male,Hour1-20, England,0
Age51-60, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour51-70, United-States,1
Age24-31, Private, 7th-8th, Divorced, Transport-moving, Unmarried, White, Male,Hour1-20, United-States,0
Age41-50, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, United-States,0
Age32-40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,Hour36-50, China,0
Age24-31, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,Hour36-50, United-States,0
Age41-50, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States,1
Age51-60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour21-35, United-States,1
Age17-23, Private, 11th, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States,0
Age17-23, ?, 11th, Never-married, ?, Own-child, Black, Male,Hour36-50, United-States,0
Age17-23, ?, Some-college, Never-married, ?, Not-in-family, White, Female,Hour21-35, United-States,0
